employee_id,age,department,salary,performance_score,attrition,years_at_company
EMP0161,37,Sales,94017.1,3.3,No,15
EMP0162,23,Finance,94064.35,4.6,No,2
EMP0163,48,Operations,96978.32,2.8,No,20
EMP0164,65,Operations,65272.79,4.2,No,5
EMP0165,26,Legal,115469.51,3.2,Yes,16
EMP0166,64,Support,79143.83,3.5,No,22
EMP0167,55,Sales,94240.22,3.0,No,13
EMP0168,23,HR,70083.99,3.0,No,9
EMP0169,45,Marketing,102287.65,3.2,No,27
EMP0170,35,Legal,133611.32,2.2,No,24
EMP0171,50,Engineering,135233.54,3.7,Yes,26
EMP0172,55,Operations,72826.65,3.6,Yes,4
EMP0173,38,Marketing,84295.36,2.5,No,8
EMP0174,43,Engineering,113954.44,4.0,Yes,11
EMP0175,23,Finance,86403.9,4.5,No,5
EMP0176,22,HR,82703.07,3.0,Yes,11
EMP0177,55,Operations,75197.15,3.0,No,7
EMP0178,37,HR,82904.8,4.3,No,14
EMP0179,60,Sales,95634.34,3.8,No,21
EMP0180,47,Engineering,111212.59,3.4,No,12
EMP0181,39,Sales,105750.61,4.1,No,22
EMP0182,60,HR,80777.82,3.7,No,11
EMP0183,24,Marketing,82753.81,4.5,No,15
EMP0184,58,Engineering,113490.99,3.5,No,10
EMP0185,25,Marketing,62783.89,3.8,No,2
EMP0186,63,Legal,86492.2,4.3,No,0
EMP0187,46,Legal,97714.88,1.8,No,5
EMP0188,42,Marketing,96284.03,4.3,No,19
EMP0189,50,Finance,79571.12,3.1,No,3
EMP0190,57,Sales,98761.99,3.8,No,14
EMP0191,34,HR,66107.25,4.7,No,4
EMP0192,26,Finance,110171.94,3.3,No,11
EMP0193,64,Engineering,113693.49,3.2,No,8
EMP0194,44,Legal,105061.5,3.5,No,6
EMP0195,34,Support,77701.48,2.5,No,15
EMP0196,62,Support,76171.93,5.0,No,27
EMP0197,23,Sales,101477.22,3.5,Yes,20
EMP0198,58,Support,54326.46,4.7,No,7
EMP0199,22,Engineering,143888.95,3.3,Yes,26
EMP0200,50,Support,84720.47,3.5,No,28
EMP0201,23,Sales,110756.68,4.2,No,23
EMP0202,28,Marketing,74248.7,2.7,No,6
EMP0203,36,Support,51176.07,3.4,No,5
EMP0204,30,Finance,136366.53,4.1,No,30
EMP0205,23,Sales,106619.16,3.4,No,27
EMP0206,51,Marketing,82790.6,3.2,No,13
EMP0207,55,Marketing,90398.66,4.3,No,14
EMP0208,36,Support,71068.15,4.5,No,16
EMP0209,52,HR,99651.01,4.6,No,27
EMP0210,36,Engineering,110413.91,3.0,No,9
EMP0211,31,Sales,107284.87,3.1,No,21
EMP0212,59,Finance,134371.74,3.2,No,29
EMP0213,45,Engineering,110679.22,4.0,No,9
EMP0214,22,Sales,78025.99,2.7,No,8
EMP0215,52,Finance,81350.32,2.7,No,4
EMP0216,39,Legal,121780.36,3.0,No,22
EMP0217,25,Engineering,111277.31,2.8,No,8
EMP0218,32,Marketing,63462.4,4.1,No,0
EMP0219,36,HR,72373.68,4.1,No,15
EMP0220,23,Legal,118503.12,3.2,No,17
EMP0221,54,Legal,91398.9,3.4,No,0
EMP0222,31,Support,76955.35,1.7,No,22
EMP0223,28,Finance,113755.65,3.2,No,17
EMP0224,30,Sales,91855.69,4.4,No,14
EMP0225,53,Support,59707.95,3.1,No,10
EMP0226,44,Legal,127369.53,2.7,No,19
EMP0227,57,Operations,94015.93,4.5,Yes,23
EMP0228,41,Marketing,98898.34,2.7,No,23
EMP0229,52,Legal,116789.23,4.6,No,12
EMP0230,42,HR,84559.5,5.0,No,15
EMP0231,48,Marketing,76595.67,3.4,No,7
EMP0232,60,Marketing,74524.72,4.4,No,6
EMP0233,49,Operations,97125.81,2.3,No,26
EMP0234,43,Finance,95293.67,2.3,No,12
EMP0235,60,Sales,89004.48,2.9,No,8
EMP0236,50,Marketing,94495.96,4.1,No,22
EMP0237,63,Sales,106513.09,3.5,No,21
EMP0238,50,Operations,75607.94,3.4,Yes,8
EMP0239,52,Marketing,81758.34,2.6,Yes,5
EMP0240,44,Legal,126847.42,3.4,No,19
EMP0241,59,Sales,116880.62,3.0,No,28
EMP0242,35,HR,63999.61,2.9,No,4
EMP0243,45,Engineering,101872.95,2.8,No,7
EMP0244,61,Engineering,148937.63,3.6,No,28
EMP0245,31,Engineering,127214.08,3.0,Yes,22
EMP0246,41,Engineering,126860.24,3.5,No,18
EMP0247,23,Support,56452.84,2.3,No,10
EMP0248,47,Marketing,82841.7,3.9,No,14
EMP0249,37,Finance,96478.46,3.7,No,5
EMP0250,46,Support,80649.83,3.3,No,25
EMP0251,32,HR,79790.2,3.6,No,15
EMP0252,58,HR,93360.04,4.2,No,24
EMP0253,65,Operations,97396.55,2.5,No,27
EMP0254,45,Operations,81033.31,3.5,No,3
EMP0255,48,Engineering,145904.19,2.6,No,26
EMP0256,42,Support,58408.39,3.6,No,9
EMP0257,35,Engineering,118376.83,3.3,No,10
EMP0258,42,Marketing,93240.93,3.5,No,14
EMP0259,43,Support,57488.91,4.1,No,9
EMP0260,56,Finance,94907.2,4.1,No,10
EMP0261,52,Finance,114597.73,4.3,No,21
EMP0262,36,Legal,102850.22,3.2,No,9
EMP0263,49,HR,84048.66,4.0,No,18
EMP0264,63,Finance,93854.35,3.9,Yes,10
EMP0265,40,Finance,99908.77,3.2,No,10
EMP0266,59,Engineering,101560.31,3.6,No,4
EMP0267,42,Marketing,104984.3,3.4,No,26
EMP0268,28,Legal,98458.91,4.5,No,3
EMP0269,30,Marketing,93127.72,4.1,No,17
EMP0270,35,Support,69280.87,3.3,No,8
EMP0271,47,Support,88670.62,3.2,No,30
EMP0272,61,Legal,94709.81,4.2,Yes,2
EMP0273,39,Engineering,114847.56,4.4,No,13
EMP0274,34,Legal,113622.51,3.7,No,15
EMP0275,50,Support,76056.67,4.0,Yes,30
EMP0276,35,Legal,97966.72,4.4,Yes,4
EMP0277,41,Operations,99156.81,3.4,No,25
EMP0278,31,Finance,92864.56,3.6,No,2
EMP0279,34,HR,73256.59,3.8,No,8
EMP0280,24,Sales,113269.94,3.2,No,25
EMP0281,47,HR,81012.5,4.7,No,11
EMP0282,43,Support,65579.52,3.2,Yes,18
EMP0283,29,Engineering,115209.68,3.5,No,12
EMP0284,55,Sales,110824.81,4.8,No,27
EMP0285,30,Legal,90069.63,2.2,No,2
EMP0286,51,Legal,142783.38,3.7,No,30
EMP0287,26,Finance,98406.29,3.0,No,7
EMP0288,23,Marketing,91864.62,3.5,No,18
EMP0289,27,Engineering,110201.55,2.7,No,8
EMP0290,45,Operations,91486.81,3.2,No,24
EMP0291,29,Finance,123232.21,3.5,No,21
EMP0292,36,Legal,99366.31,3.7,No,4
EMP0293,45,Marketing,73707.5,4.1,No,7
EMP0294,50,Legal,121333.86,1.9,No,21
EMP0295,56,Support,73751.22,3.4,No,15
EMP0296,39,Sales,105220.88,3.4,No,17
EMP0297,26,Legal,110973.55,3.5,No,11
EMP0298,65,Finance,117191.58,3.5,Yes,20
EMP0299,56,HR,101951.39,2.9,No,28
EMP0300,58,Sales,78671.75,2.4,No,3
EMP0301,62,Sales,101186.46,3.7,No,21
EMP0302,52,Engineering,154940.37,2.8,No,29
EMP0303,65,Marketing,72111.83,3.8,No,6
EMP0304,44,Finance,101945.97,2.8,Yes,12
EMP0305,46,Finance,115718.16,4.0,No,17
EMP0306,48,Support,77531.21,3.5,No,24
EMP0307,44,Operations,95486.4,3.5,Yes,21
EMP0308,41,Support,89166.65,3.3,No,30
EMP0309,36,Legal,112837.75,3.2,No,17
EMP0310,56,Finance,131094.76,3.3,No,27
EMP0311,36,Legal,128305.4,4.3,No,16
EMP0312,61,Legal,103217.23,2.4,No,9
EMP0313,54,Legal,122426.26,3.0,No,20
EMP0314,65,Sales,78075.06,4.2,No,12
EMP0315,50,Operations,91508.74,4.1,No,20
EMP0316,48,Sales,103703.04,4.4,No,20
EMP0317,36,Marketing,73612.77,3.5,No,2
EMP0318,52,Operations,80614.74,2.6,No,16
EMP0319,47,Finance,84956.43,2.7,No,0
EMP0320,39,Legal,112707.73,3.3,Yes,12
EMP0321,24,Operations,91260.54,4.0,No,20
EMP0322,22,Operations,85525.98,3.3,No,20
EMP0323,32,Sales,76706.54,3.3,No,3
EMP0324,52,Engineering,144127.18,3.8,No,28
EMP0325,62,Sales,94320.46,3.5,No,22
EMP0326,63,Marketing,83646.53,3.2,No,9
EMP0327,45,Legal,114100.18,2.8,No,13
EMP0328,59,Engineering,103659.48,4.2,No,3
EMP0329,22,Finance,101027.73,4.2,No,11
EMP0330,60,Legal,129132.71,2.8,No,20
EMP0331,64,Marketing,109830.64,3.2,No,27
EMP0332,39,Marketing,101249.94,4.0,No,18
EMP0333,24,Sales,87589.28,2.7,Yes,8
EMP0334,53,HR,98643.95,3.8,No,28
EMP0335,22,Finance,105300.58,3.3,No,16
EMP0336,50,Finance,123567.37,2.6,No,23
EMP0337,36,Legal,120686.69,4.7,No,21
EMP0338,45,Engineering,113705.62,3.3,No,12
EMP0339,62,Marketing,77775.29,3.9,No,0
EMP0340,28,Marketing,88724.83,2.7,No,19
EMP0341,23,HR,83767.04,4.6,No,27
EMP0342,47,Operations,102865.83,4.9,No,26
EMP0343,52,Engineering,141034.66,2.4,No,26
EMP0344,35,Marketing,85440.04,3.4,No,10
EMP0345,29,Engineering,142349.35,4.4,No,28
EMP0346,52,Finance,82870.43,3.2,No,0
EMP0347,52,Support,67339.41,3.8,No,9
EMP0348,63,Support,65149.9,2.3,No,19
EMP0349,60,Engineering,111253.67,2.9,No,9
EMP0350,54,Engineering,96456.52,3.7,No,0
EMP0351,22,Finance,89903.82,3.1,No,5
EMP0352,33,Marketing,108649.85,3.2,Yes,29
EMP0353,50,Sales,90798.24,2.4,No,13
EMP0354,42,Operations,74172.71,4.0,No,5
EMP0355,24,Marketing,103050.98,2.6,No,19
EMP0356,46,Finance,117076.05,4.6,No,11
EMP0357,55,Engineering,120116.65,3.0,No,12
EMP0358,53,Support,81608.03,4.1,Yes,29
EMP0359,62,Engineering,127604.59,4.0,No,16
EMP0360,28,Engineering,97638.79,2.8,No,2
EMP0361,63,HR,90023.09,3.1,Yes,29
EMP0362,45,Support,51767.05,3.2,No,0
EMP0363,35,Operations,97710.59,3.2,No,21
EMP0364,59,HR,58396.26,2.6,No,3
EMP0365,26,Marketing,73957.05,3.9,No,8
EMP0366,23,Sales,112290.24,3.0,Yes,30
EMP0367,54,Operations,73361.72,3.4,No,5
EMP0368,54,Finance,147885.0,4.2,No,30
EMP0369,25,Finance,96253.42,3.9,Yes,9
EMP0370,60,HR,76096.08,3.1,No,11
EMP0371,58,Marketing,107468.89,4.2,Yes,29
EMP0372,57,Sales,103613.77,4.0,No,23
EMP0373,39,Marketing,80001.49,3.0,No,9
EMP0374,63,Sales,101356.31,3.1,No,22
EMP0375,27,HR,93074.89,4.2,No,14
EMP0376,56,Marketing,75828.38,4.0,Yes,3
EMP0377,59,Legal,100319.28,2.4,Yes,7
EMP0378,44,Finance,102817.91,2.8,No,7
EMP0379,37,Marketing,88323.46,4.0,No,14
EMP0380,42,Engineering,146589.74,2.7,No,27
EMP0381,24,Engineering,126389.92,4.1,No,17
EMP0382,23,Engineering,103249.83,4.9,No,5
EMP0383,36,Marketing,86380.15,3.8,No,18
EMP0384,22,Marketing,81391.69,2.9,No,16
EMP0385,49,Engineering,119653.7,3.6,No,12
EMP0386,50,Operations,73139.59,4.2,No,7
EMP0387,59,Finance,126787.16,3.6,No,22
EMP0388,34,Support,65230.49,3.8,No,17
EMP0389,57,Support,60030.28,2.9,No,13
EMP0390,35,Engineering,110280.9,3.0,No,6
EMP0391,45,Operations,67423.31,4.1,No,3
EMP0392,57,Support,62518.67,3.0,No,6
EMP0393,37,Legal,124367.31,1.7,No,19
EMP0394,26,Operations,75687.61,3.3,No,1
EMP0395,57,Sales,78658.71,3.7,No,2
EMP0396,34,Support,85248.74,4.2,No,30
EMP0397,31,Legal,108399.63,4.7,No,8
EMP0398,52,Finance,88735.51,3.6,Yes,3
EMP0399,45,Support,73945.43,4.0,Yes,29
EMP0400,23,HR,78684.64,3.6,No,12
EMP0401,62,Finance,94707.95,3.7,No,0
EMP0402,44,Legal,100147.79,3.4,No,12
EMP0403,33,Operations,67345.72,3.8,No,0
EMP0404,25,Finance,92624.05,3.0,No,9
EMP0405,52,Legal,142083.48,4.9,No,29
EMP0406,55,Support,77357.3,1.8,No,24
EMP0407,54,Operations,84334.27,3.9,No,12
EMP0408,49,Support,63450.81,3.7,No,10
EMP0409,60,HR,91187.59,3.8,No,18
EMP0410,48,Finance,123132.0,2.7,No,19
EMP0411,32,Operations,93916.63,2.3,No,23
EMP0412,31,Finance,117671.96,3.9,No,16
EMP0413,38,Sales,73316.1,4.4,No,2
EMP0414,53,HR,91815.71,3.7,No,26
EMP0415,22,Sales,80378.08,4.1,No,10
EMP0416,35,Operations,104059.82,3.2,No,25
EMP0417,41,Legal,133499.87,3.7,No,25
EMP0418,47,Operations,60692.48,4.4,Yes,6
EMP0419,28,Legal,119710.33,3.3,Yes,15
EMP0420,26,Operations,92729.92,4.3,No,23
EMP0421,62,HR,74146.93,2.4,No,11
EMP0422,26,Engineering,139429.92,3.1,Yes,24
EMP0423,25,Engineering,123717.24,3.9,No,16
EMP0424,30,Support,94758.84,4.8,No,28
EMP0425,37,Legal,146913.53,3.5,No,27
EMP0426,31,Marketing,110935.86,2.8,No,29
EMP0427,57,Support,59446.62,4.8,No,6
EMP0428,27,Sales,109323.81,3.4,Yes,22
EMP0429,28,Legal,132618.3,4.0,No,23
EMP0430,27,Sales,94799.33,3.3,Yes,13
EMP0431,50,Operations,74291.11,3.6,No,5
EMP0432,60,Engineering,112741.72,3.1,No,9
EMP0433,29,Operations,89201.56,5.0,Yes,15
EMP0434,46,HR,92139.13,4.3,No,26
EMP0435,38,Finance,132892.27,4.7,No,28
EMP0436,49,Engineering,143302.81,2.9,No,28
EMP0437,50,Marketing,103120.14,2.2,No,29
EMP0438,34,Sales,63674.25,3.3,No,3
EMP0439,48,Finance,138282.84,5.0,No,30
EMP0440,24,Engineering,130957.6,3.3,No,17
EMP0441,43,Support,60547.1,4.2,Yes,3
EMP0442,64,Sales,72247.87,2.8,Yes,4
EMP0443,61,Finance,99099.54,2.9,No,7
EMP0444,24,Support,59276.45,3.4,Yes,7
EMP0445,24,HR,69407.91,5.0,No,3
EMP0446,58,Finance,100442.9,4.3,No,11
EMP0447,31,Support,66958.53,2.1,No,16
EMP0448,51,Engineering,104332.5,4.0,No,9
EMP0449,45,Finance,115415.4,2.7,Yes,20
EMP0450,39,Finance,122415.49,3.0,Yes,22
EMP0451,35,Operations,81470.63,3.9,No,12
EMP0452,54,Finance,79970.59,4.5,Yes,2
EMP0453,33,HR,70602.75,4.4,No,9
EMP0454,55,Finance,118101.58,3.7,Yes,19
EMP0455,32,Marketing,91360.22,3.7,No,12
EMP0456,60,Marketing,88254.94,4.4,No,18
EMP0457,52,Support,81490.32,2.4,No,26
EMP0458,45,Operations,93392.17,4.8,No,24
EMP0459,26,Operations,87471.12,3.0,No,19
EMP0460,31,Sales,70492.14,3.7,No,2
EMP0461,49,HR,85298.3,3.2,No,23
EMP0462,47,Sales,84026.04,2.7,No,10
EMP0463,26,Support,69720.06,3.8,Yes,12
EMP0464,26,Support,70065.15,3.7,No,21
EMP0465,48,Marketing,97446.31,3.4,No,25
EMP0466,38,HR,90325.64,3.4,No,22
EMP0467,42,Operations,76726.07,4.6,No,9
EMP0468,48,Sales,90378.78,5.0,Yes,13
EMP0469,59,Finance,104969.94,4.4,No,11
EMP0470,33,Sales,87112.11,3.7,No,14
EMP0471,52,Finance,119605.49,2.4,No,23
EMP0472,60,Operations,107631.25,3.9,No,29
EMP0473,62,Operations,79870.35,4.0,No,12
EMP0474,64,Engineering,116982.21,4.0,No,10
EMP0475,22,Marketing,110840.21,2.7,No,27
EMP0476,25,Marketing,77668.72,4.1,Yes,4
EMP0477,60,Operations,73751.06,4.6,No,12
EMP0478,31,Marketing,106857.51,2.8,No,29
EMP0479,34,HR,100684.16,4.0,No,27
EMP0480,42,Sales,110613.73,2.9,No,25
EMP0481,50,Marketing,105639.71,3.4,No,27
EMP0482,23,HR,62482.25,2.8,Yes,7
EMP0483,50,Sales,70357.4,3.3,No,1
EMP0484,26,Engineering,144746.64,3.3,No,26
EMP0485,38,Sales,86470.5,3.8,No,15
EMP0486,61,HR,74648.18,4.1,No,7
EMP0487,27,Sales,91571.97,4.4,No,14
EMP0488,24,Engineering,132601.74,3.0,No,25
EMP0489,42,Legal,114166.94,3.8,No,15
EMP0490,32,Support,70328.37,2.7,No,19
EMP0491,32,Finance,109850.63,3.4,No,15
EMP0492,40,Finance,115898.11,3.5,No,14
EMP0493,29,Sales,116652.3,2.9,Yes,29
EMP0494,22,Engineering,141372.72,3.9,No,28
EMP0495,62,Engineering,112252.46,3.4,No,13
EMP0496,57,Sales,106665.92,3.6,Yes,25
EMP0497,40,Engineering,137431.05,4.4,No,22
EMP0498,58,Operations,75161.92,3.2,No,4
EMP0499,65,Legal,145449.47,4.1,Yes,26
EMP0500,39,Operations,101221.11,4.5,No,21
EMP0501,28,Marketing,101148.25,4.5,No,26
EMP0502,30,Marketing,105312.76,3.4,No,24
EMP0503,64,Marketing,108208.14,2.8,No,28
EMP0504,61,Sales,89586.07,3.0,Yes,16
EMP0505,52,HR,53800.53,2.4,Yes,1
EMP0506,51,Finance,99320.54,4.0,No,8
EMP0507,35,Sales,70284.15,4.0,No,4
EMP0508,45,Marketing,73262.7,3.6,No,7
EMP0509,38,HR,79655.84,2.5,Yes,17
EMP0510,39,Engineering,153093.76,3.2,No,30
EMP0511,53,Finance,130503.11,4.5,No,23
EMP0512,45,Marketing,85743.72,3.9,No,13
EMP0513,40,Operations,81805.59,4.0,No,15
EMP0514,32,Legal,108457.67,5.0,No,16
EMP0515,50,Marketing,86611.87,3.7,No,12
EMP0516,41,Marketing,92622.81,2.0,No,18
EMP0517,24,Finance,131551.57,2.7,No,29
EMP0518,52,Engineering,106530.46,3.7,Yes,3
EMP0519,36,Sales,81885.98,3.5,No,11
EMP0520,40,Engineering,95375.59,3.4,No,2
EMP0521,65,Marketing,102134.86,3.4,No,26
EMP0522,52,Finance,92389.08,3.0,No,6
EMP0523,24,Sales,103553.77,3.8,No,20
EMP0524,54,Finance,90719.57,4.5,Yes,2
EMP0525,34,Operations,88454.85,4.7,No,14
EMP0526,55,Operations,102611.6,4.7,No,27
EMP0527,37,Finance,133723.13,2.8,Yes,29
EMP0528,47,Finance,90100.91,3.5,No,4
EMP0529,52,HR,89076.39,3.3,Yes,20
EMP0530,30,HR,69728.47,3.9,No,7
EMP0531,27,Legal,129836.14,3.4,No,22
EMP0532,52,HR,84388.42,3.3,No,16
EMP0533,25,Marketing,101332.78,4.5,No,24
EMP0534,58,Support,81622.98,3.6,No,27
EMP0535,41,Support,58445.39,3.6,No,10
EMP0536,26,Legal,98548.53,3.8,No,1
EMP0537,55,Legal,100666.64,4.0,No,9
EMP0538,61,HR,71635.99,4.0,Yes,6
EMP0539,24,Support,52690.8,4.6,No,3
EMP0540,63,Operations,99011.73,2.6,No,22
EMP0541,40,Support,84498.7,3.7,No,27
EMP0542,51,Engineering,125389.75,3.4,No,16
EMP0543,33,Engineering,133173.6,3.3,No,16
EMP0544,26,Engineering,128263.0,4.0,Yes,18
EMP0545,65,Support,84488.46,4.4,No,27
EMP0546,50,Marketing,64368.85,3.1,No,0
EMP0547,33,Engineering,127424.87,4.7,No,16
EMP0548,37,Legal,132137.7,2.5,No,26
EMP0549,55,Legal,99097.36,3.9,No,5
EMP0550,35,Support,69422.94,2.9,Yes,17
