date,region,product,units_sold,revenue
2022-01-04,West,Widget A,49,1469.51
2022-01-04,West,Widget B,11,549.89
2022-01-04,West,Gadget Pro,43,4299.57
2022-01-04,West,Gadget Lite,40,2399.6
2022-01-04,West,Service Pack,28,4199.72
2022-01-04,West,Bundle Deal,15,1199.85
2022-01-04,Central,Widget A,38,1139.62
2022-01-04,Central,Widget B,29,1449.71
2022-01-04,Central,Gadget Pro,40,3999.6
2022-01-04,Central,Gadget Lite,37,2219.63
2022-01-04,Central,Service Pack,61,9149.39
2022-01-04,Central,Bundle Deal,33,2639.67
2022-01-05,North,Widget A,21,629.79
2022-01-05,North,Widget B,39,1949.61
2022-01-05,North,Gadget Pro,40,3999.6
2022-01-05,North,Gadget Lite,57,3419.43
2022-01-05,North,Service Pack,49,7349.51
2022-01-05,North,Bundle Deal,42,3359.58
2022-01-05,South,Widget A,58,1739.42
2022-01-05,South,Widget B,19,949.81
2022-01-05,South,Gadget Pro,27,2699.73
2022-01-05,South,Gadget Lite,23,1379.77
2022-01-05,South,Service Pack,31,4649.69
2022-01-05,South,Bundle Deal,16,1279.84
2022-01-05,East,Widget A,46,1379.54
2022-01-05,East,Widget B,33,1649.67
2022-01-05,East,Gadget Pro,14,1399.86
2022-01-05,East,Gadget Lite,21,1259.79
2022-01-05,East,Service Pack,41,6149.59
2022-01-05,East,Bundle Deal,49,3919.51
2022-01-05,West,Widget A,66,1979.34
2022-01-05,West,Widget B,80,3999.2
2022-01-05,West,Gadget Pro,43,4299.57
2022-01-05,West,Gadget Lite,22,1319.78
2022-01-05,West,Service Pack,5,749.95
2022-01-05,West,Bundle Deal,41,3279.59
2022-01-05,Central,Widget A,24,719.76
2022-01-05,Central,Widget B,30,1499.7
2022-01-05,Central,Gadget Pro,27,2699.73
2022-01-05,Central,Gadget Lite,34,2039.66
2022-01-05,Central,Service Pack,52,7799.48
2022-01-05,Central,Bundle Deal,39,3119.61
2022-01-06,North,Widget A,34,1019.66
2022-01-06,North,Widget B,21,1049.79
2022-01-06,North,Gadget Pro,11,1099.89
2022-01-06,North,Gadget Lite,29,1739.71
2022-01-06,North,Service Pack,36,5399.64
2022-01-06,North,Bundle Deal,63,5039.37
2022-01-06,South,Widget A,38,1139.62
2022-01-06,South,Widget B,51,2549.49
2022-01-06,South,Gadget Pro,29,2899.71
2022-01-06,South,Gadget Lite,19,1139.81
2022-01-06,South,Service Pack,22,3299.78
2022-01-06,South,Bundle Deal,26,2079.74
2022-01-06,East,Widget A,68,2039.32
2022-01-06,East,Widget B,24,1199.76
2022-01-06,East,Gadget Pro,49,4899.51
2022-01-06,East,Gadget Lite,23,1379.77
2022-01-06,East,Service Pack,50,7499.5
2022-01-06,East,Bundle Deal,42,3359.58
2022-01-06,West,Widget A,34,1019.66
2022-01-06,West,Widget B,36,1799.64
2022-01-06,West,Gadget Pro,27,2699.73
2022-01-06,West,Gadget Lite,43,2579.57
2022-01-06,West,Service Pack,30,4499.7
2022-01-06,West,Bundle Deal,18,1439.82
2022-01-06,Central,Widget A,17,509.83
2022-01-06,Central,Widget B,39,1949.61
2022-01-06,Central,Gadget Pro,60,5999.4
2022-01-06,Central,Gadget Lite,39,2339.61
2022-01-06,Central,Service Pack,35,5249.65
2022-01-06,Central,Bundle Deal,41,3279.59
2022-01-07,North,Widget A,56,1679.44
2022-01-07,North,Widget B,40,1999.6
2022-01-07,North,Gadget Pro,30,2999.7
2022-01-07,North,Gadget Lite,53,3179.47
2022-01-07,North,Service Pack,43,6449.57
2022-01-07,North,Bundle Deal,60,4799.4
2022-01-07,South,Widget A,39,1169.61
2022-01-07,South,Widget B,18,899.82
2022-01-07,South,Gadget Pro,16,1599.84
2022-01-07,South,Gadget Lite,61,3659.39
2022-01-07,South,Service Pack,62,9299.38
2022-01-07,South,Bundle Deal,34,2719.66
2022-01-07,East,Widget A,31,929.69
2022-01-07,East,Widget B,58,2899.42
2022-01-07,East,Gadget Pro,20,1999.8
2022-01-07,East,Gadget Lite,23,1379.77
2022-01-07,East,Service Pack,46,6899.54
2022-01-07,East,Bundle Deal,31,2479.69
2022-01-07,West,Widget A,36,1079.64
2022-01-07,West,Widget B,34,1699.66
2022-01-07,West,Gadget Pro,42,4199.58
2022-01-07,West,Gadget Lite,58,3479.42
2022-01-07,West,Service Pack,38,5699.62
2022-01-07,West,Bundle Deal,46,3679.54
2022-01-07,Central,Widget A,6,179.94
2022-01-07,Central,Widget B,36,1799.64
2022-01-07,Central,Gadget Pro,24,2399.76
2022-01-07,Central,Gadget Lite,18,1079.82
2022-01-07,Central,Service Pack,23,3449.77
2022-01-07,Central,Bundle Deal,31,2479.69
2022-01-08,North,Widget A,50,1499.5
2022-01-08,North,Widget B,17,849.83
2022-01-08,North,Gadget Pro,37,3699.63
2022-01-08,North,Gadget Lite,29,1739.71
2022-01-08,North,Service Pack,32,4799.68
2022-01-08,North,Bundle Deal,52,4159.48
2022-01-08,South,Widget A,45,1349.55
2022-01-08,South,Widget B,57,2849.43
2022-01-08,South,Gadget Pro,34,3399.66
2022-01-08,South,Gadget Lite,26,1559.74
2022-01-08,South,Service Pack,33,4949.67
2022-01-08,South,Bundle Deal,40,3199.6
2022-01-08,East,Widget A,39,1169.61
2022-01-08,East,Widget B,20,999.8
2022-01-08,East,Gadget Pro,38,3799.62
2022-01-08,East,Gadget Lite,40,2399.6
2022-01-08,East,Service Pack,74,11099.26
2022-01-08,East,Bundle Deal,65,5199.35
2022-01-08,West,Widget A,24,719.76
2022-01-08,West,Widget B,32,1599.68
2022-01-08,West,Gadget Pro,15,1499.85
2022-01-08,West,Gadget Lite,28,1679.72
2022-01-08,West,Service Pack,41,6149.59
2022-01-08,West,Bundle Deal,55,4399.45
2022-01-08,Central,Widget A,26,779.74
2022-01-08,Central,Widget B,27,1349.73
2022-01-08,Central,Gadget Pro,4,399.96
2022-01-08,Central,Gadget Lite,34,2039.66
2022-01-08,Central,Service Pack,21,3149.79
2022-01-08,Central,Bundle Deal,29,2319.71
2022-01-09,North,Widget A,23,689.77
2022-01-09,North,Widget B,35,1749.65
2022-01-09,North,Gadget Pro,10,999.9
2022-01-09,North,Gadget Lite,15,899.85
2022-01-09,North,Service Pack,68,10199.32
2022-01-09,North,Bundle Deal,17,1359.83
2022-01-09,South,Widget A,20,599.8
2022-01-09,South,Widget B,64,3199.36
2022-01-09,South,Gadget Pro,80,7999.2
2022-01-09,South,Gadget Lite,19,1139.81
2022-01-09,South,Service Pack,31,4649.69
2022-01-09,South,Bundle Deal,42,3359.58
2022-01-09,East,Widget A,62,1859.38
2022-01-09,East,Widget B,22,1099.78
2022-01-09,East,Gadget Pro,33,3299.67
2022-01-09,East,Gadget Lite,48,2879.52
2022-01-09,East,Service Pack,43,6449.57
2022-01-09,East,Bundle Deal,31,2479.69
2022-01-09,West,Widget A,35,1049.65
2022-01-09,West,Widget B,16,799.84
2022-01-09,West,Gadget Pro,33,3299.67
2022-01-09,West,Gadget Lite,33,1979.67
2022-01-09,West,Service Pack,40,5999.6
2022-01-09,West,Bundle Deal,28,2239.72
2022-01-09,Central,Widget A,44,1319.56
2022-01-09,Central,Widget B,52,2599.48
2022-01-09,Central,Gadget Pro,39,3899.61
2022-01-09,Central,Gadget Lite,42,2519.58
2022-01-09,Central,Service Pack,37,5549.63
2022-01-09,Central,Bundle Deal,37,2959.63
2022-01-10,North,Widget A,26,779.74
2022-01-10,North,Widget B,41,2049.59
2022-01-10,North,Gadget Pro,35,3499.65
2022-01-10,North,Gadget Lite,68,4079.32
2022-01-10,North,Service Pack,60,8999.4
2022-01-10,North,Bundle Deal,42,3359.58
2022-01-10,South,Widget A,25,749.75
2022-01-10,South,Widget B,20,999.8
2022-01-10,South,Gadget Pro,54,5399.46
2022-01-10,South,Gadget Lite,40,2399.6
2022-01-10,South,Service Pack,44,6599.56
2022-01-10,South,Bundle Deal,10,799.9
2022-01-10,East,Widget A,50,1499.5
2022-01-10,East,Widget B,43,2149.57
2022-01-10,East,Gadget Pro,20,1999.8
2022-01-10,East,Gadget Lite,29,1739.71
2022-01-10,East,Service Pack,40,5999.6
2022-01-10,East,Bundle Deal,37,2959.63
2022-01-10,West,Widget A,32,959.68
2022-01-10,West,Widget B,35,1749.65
2022-01-10,West,Gadget Pro,33,3299.67
2022-01-10,West,Gadget Lite,39,2339.61
2022-01-10,West,Service Pack,59,8849.41
2022-01-10,West,Bundle Deal,1,79.99
2022-01-10,Central,Widget A,33,989.67
2022-01-10,Central,Widget B,39,1949.61
2022-01-10,Central,Gadget Pro,41,4099.59
2022-01-10,Central,Gadget Lite,31,1859.69
2022-01-10,Central,Service Pack,10,1499.9
2022-01-10,Central,Bundle Deal,41,3279.59
2022-01-11,North,Widget A,62,1859.38
2022-01-11,North,Widget B,14,699.86
2022-01-11,North,Gadget Pro,49,4899.51
2022-01-11,North,Gadget Lite,32,1919.68
2022-01-11,North,Service Pack,36,5399.64
2022-01-11,North,Bundle Deal,21,1679.79
2022-01-11,South,Widget A,31,929.69
2022-01-11,South,Widget B,56,2799.44
2022-01-11,South,Gadget Pro,45,4499.55
2022-01-11,South,Gadget Lite,62,3719.38
2022-01-11,South,Service Pack,54,8099.46
2022-01-11,South,Bundle Deal,43,3439.57
2022-01-11,East,Widget A,63,1889.37
2022-01-11,East,Widget B,43,2149.57
2022-01-11,East,Gadget Pro,49,4899.51
2022-01-11,East,Gadget Lite,32,1919.68
2022-01-11,East,Service Pack,38,5699.62
2022-01-11,East,Bundle Deal,26,2079.74
2022-01-11,West,Widget A,51,1529.49
2022-01-11,West,Widget B,19,949.81
2022-01-11,West,Gadget Pro,48,4799.52
2022-01-11,West,Gadget Lite,34,2039.66
2022-01-11,West,Service Pack,54,8099.46
2022-01-11,West,Bundle Deal,48,3839.52
2022-01-11,Central,Widget A,64,1919.36
2022-01-11,Central,Widget B,47,2349.53
2022-01-11,Central,Gadget Pro,13,1299.87
2022-01-11,Central,Gadget Lite,36,2159.64
2022-01-11,Central,Service Pack,19,2849.81
2022-01-11,Central,Bundle Deal,29,2319.71
2022-01-12,North,Widget A,59,1769.41
2022-01-12,North,Widget B,46,2299.54
2022-01-12,North,Gadget Pro,26,2599.74
2022-01-12,North,Gadget Lite,21,1259.79
2022-01-12,North,Service Pack,37,5549.63
2022-01-12,North,Bundle Deal,18,1439.82
2022-01-12,South,Widget A,26,779.74
2022-01-12,South,Widget B,41,2049.59
2022-01-12,South,Gadget Pro,54,5399.46
2022-01-12,South,Gadget Lite,46,2759.54
2022-01-12,South,Service Pack,2,299.98
2022-01-12,South,Bundle Deal,41,3279.59
2022-01-12,East,Widget A,38,1139.62
2022-01-12,East,Widget B,43,2149.57
2022-01-12,East,Gadget Pro,61,6099.39
2022-01-12,East,Gadget Lite,6,359.94
2022-01-12,East,Service Pack,28,4199.72
2022-01-12,East,Bundle Deal,45,3599.55
2022-01-12,West,Widget A,13,389.87
2022-01-12,West,Widget B,59,2949.41
2022-01-12,West,Gadget Pro,42,4199.58
2022-01-12,West,Gadget Lite,49,2939.51
2022-01-12,West,Service Pack,28,4199.72
2022-01-12,West,Bundle Deal,49,3919.51
2022-01-12,Central,Widget A,53,1589.47
2022-01-12,Central,Widget B,40,1999.6
2022-01-12,Central,Gadget Pro,40,3999.6
2022-01-12,Central,Gadget Lite,41,2459.59
2022-01-12,Central,Service Pack,24,3599.76
2022-01-12,Central,Bundle Deal,34,2719.66
2022-01-13,North,Widget A,34,1019.66
2022-01-13,North,Widget B,42,2099.58
2022-01-13,North,Gadget Pro,52,5199.48
2022-01-13,North,Gadget Lite,21,1259.79
2022-01-13,North,Service Pack,35,5249.65
2022-01-13,North,Bundle Deal,59,4719.41
2022-01-13,South,Widget A,25,749.75
2022-01-13,South,Widget B,24,1199.76
2022-01-13,South,Gadget Pro,40,3999.6
2022-01-13,South,Gadget Lite,49,2939.51
2022-01-13,South,Service Pack,37,5549.63
2022-01-13,South,Bundle Deal,56,4479.44
2022-01-13,East,Widget A,49,1469.51
2022-01-13,East,Widget B,49,2449.51
2022-01-13,East,Gadget Pro,45,4499.55
2022-01-13,East,Gadget Lite,71,4259.29
2022-01-13,East,Service Pack,33,4949.67
2022-01-13,East,Bundle Deal,6,479.94
2022-01-13,West,Widget A,61,1829.39
2022-01-13,West,Widget B,30,1499.7
2022-01-13,West,Gadget Pro,38,3799.62
2022-01-13,West,Gadget Lite,56,3359.44
2022-01-13,West,Service Pack,12,1799.88
2022-01-13,West,Bundle Deal,18,1439.82
2022-01-13,Central,Widget A,12,359.88
2022-01-13,Central,Widget B,25,1249.75
2022-01-13,Central,Gadget Pro,43,4299.57
2022-01-13,Central,Gadget Lite,44,2639.56
2022-01-13,Central,Service Pack,41,6149.59
2022-01-13,Central,Bundle Deal,15,1199.85
2022-01-14,North,Widget A,2,59.98
2022-01-14,North,Widget B,37,1849.63
2022-01-14,North,Gadget Pro,29,2899.71
2022-01-14,North,Gadget Lite,43,2579.57
2022-01-14,North,Service Pack,47,7049.53
2022-01-14,North,Bundle Deal,39,3119.61
2022-01-14,South,Widget A,48,1439.52
2022-01-14,South,Widget B,40,1999.6
2022-01-14,South,Gadget Pro,44,4399.56
2022-01-14,South,Gadget Lite,26,1559.74
2022-01-14,South,Service Pack,34,5099.66
2022-01-14,South,Bundle Deal,39,3119.61
2022-01-14,East,Widget A,49,1469.51
2022-01-14,East,Widget B,31,1549.69
2022-01-14,East,Gadget Pro,44,4399.56
2022-01-14,East,Gadget Lite,33,1979.67
2022-01-14,East,Service Pack,35,5249.65
2022-01-14,East,Bundle Deal,49,3919.51
2022-01-14,West,Widget A,7,209.93
2022-01-14,West,Widget B,17,849.83
2022-01-14,West,Gadget Pro,14,1399.86
2022-01-14,West,Gadget Lite,2,119.98
2022-01-14,West,Service Pack,26,3899.74
2022-01-14,West,Bundle Deal,48,3839.52
2022-01-14,Central,Widget A,32,959.68
2022-01-14,Central,Widget B,39,1949.61
2022-01-14,Central,Gadget Pro,53,5299.47
2022-01-14,Central,Gadget Lite,56,3359.44
2022-01-14,Central,Service Pack,35,5249.65
2022-01-14,Central,Bundle Deal,57,4559.43
2022-01-15,North,Widget A,38,1139.62
2022-01-15,North,Widget B,24,1199.76
2022-01-15,North,Gadget Pro,28,2799.72
2022-01-15,North,Gadget Lite,14,839.86
2022-01-15,North,Service Pack,23,3449.77
2022-01-15,North,Bundle Deal,31,2479.69
2022-01-15,South,Widget A,49,1469.51
2022-01-15,South,Widget B,62,3099.38
2022-01-15,South,Gadget Pro,16,1599.84
2022-01-15,South,Gadget Lite,42,2519.58
2022-01-15,South,Service Pack,21,3149.79
2022-01-15,South,Bundle Deal,44,3519.56
2022-01-15,East,Widget A,35,1049.65
2022-01-15,East,Widget B,9,449.91
2022-01-15,East,Gadget Pro,50,4999.5
2022-01-15,East,Gadget Lite,27,1619.73
2022-01-15,East,Service Pack,29,4349.71
2022-01-15,East,Bundle Deal,20,1599.8
2022-01-15,West,Widget A,27,809.73
2022-01-15,West,Widget B,43,2149.57
2022-01-15,West,Gadget Pro,34,3399.66
2022-01-15,West,Gadget Lite,41,2459.59
2022-01-15,West,Service Pack,42,6299.58
2022-01-15,West,Bundle Deal,56,4479.44
2022-01-15,Central,Widget A,31,929.69
2022-01-15,Central,Widget B,14,699.86
2022-01-15,Central,Gadget Pro,53,5299.47
2022-01-15,Central,Gadget Lite,32,1919.68
2022-01-15,Central,Service Pack,53,7949.47
2022-01-15,Central,Bundle Deal,42,3359.58
2022-01-16,North,Widget A,35,1049.65
2022-01-16,North,Widget B,42,2099.58
2022-01-16,North,Gadget Pro,66,6599.34
2022-01-16,North,Gadget Lite,68,4079.32
2022-01-16,North,Service Pack,38,5699.62
2022-01-16,North,Bundle Deal,39,3119.61
2022-01-16,South,Widget A,53,1589.47
2022-01-16,South,Widget B,24,1199.76
2022-01-16,South,Gadget Pro,42,4199.58
2022-01-16,South,Gadget Lite,36,2159.64
2022-01-16,South,Service Pack,41,6149.59
2022-01-16,South,Bundle Deal,24,1919.76
2022-01-16,East,Widget A,13,389.87
2022-01-16,East,Widget B,5,249.95
2022-01-16,East,Gadget Pro,20,1999.8
2022-01-16,East,Gadget Lite,30,1799.7
2022-01-16,East,Service Pack,32,4799.68
2022-01-16,East,Bundle Deal,66,5279.34
2022-01-16,West,Widget A,53,1589.47
2022-01-16,West,Widget B,22,1099.78
2022-01-16,West,Gadget Pro,42,4199.58
2022-01-16,West,Gadget Lite,30,1799.7
2022-01-16,West,Service Pack,32,4799.68
2022-01-16,West,Bundle Deal,39,3119.61
2022-01-16,Central,Widget A,46,1379.54
2022-01-16,Central,Widget B,31,1549.69
2022-01-16,Central,Gadget Pro,52,5199.48
2022-01-16,Central,Gadget Lite,19,1139.81
2022-01-16,Central,Service Pack,37,5549.63
2022-01-16,Central,Bundle Deal,75,5999.25
2022-01-17,North,Widget A,40,1199.6
2022-01-17,North,Widget B,58,2899.42
2022-01-17,North,Gadget Pro,38,3799.62
2022-01-17,North,Gadget Lite,45,2699.55
2022-01-17,North,Service Pack,36,5399.64
2022-01-17,North,Bundle Deal,34,2719.66
2022-01-17,South,Widget A,25,749.75
2022-01-17,South,Widget B,43,2149.57
2022-01-17,South,Gadget Pro,24,2399.76
2022-01-17,South,Gadget Lite,46,2759.54
2022-01-17,South,Service Pack,53,7949.47
2022-01-17,South,Bundle Deal,42,3359.58
2022-01-17,East,Widget A,32,959.68
2022-01-17,East,Widget B,43,2149.57
2022-01-17,East,Gadget Pro,32,3199.68
2022-01-17,East,Gadget Lite,51,3059.49
2022-01-17,East,Service Pack,9,1349.91
2022-01-17,East,Bundle Deal,31,2479.69
2022-01-17,West,Widget A,7,209.93
2022-01-17,West,Widget B,14,699.86
2022-01-17,West,Gadget Pro,57,5699.43
2022-01-17,West,Gadget Lite,50,2999.5
2022-01-17,West,Service Pack,26,3899.74
2022-01-17,West,Bundle Deal,14,1119.86
2022-01-17,Central,Widget A,1,29.99
2022-01-17,Central,Widget B,28,1399.72
2022-01-17,Central,Gadget Pro,73,7299.27
2022-01-17,Central,Gadget Lite,43,2579.57
2022-01-17,Central,Service Pack,28,4199.72
2022-01-17,Central,Bundle Deal,43,3439.57
2022-01-18,North,Widget A,13,389.87
2022-01-18,North,Widget B,32,1599.68
2022-01-18,North,Gadget Pro,38,3799.62
2022-01-18,North,Gadget Lite,35,2099.65
2022-01-18,North,Service Pack,48,7199.52
2022-01-18,North,Bundle Deal,42,3359.58
2022-01-18,South,Widget A,47,1409.53
2022-01-18,South,Widget B,26,1299.74
2022-01-18,South,Gadget Pro,50,4999.5
2022-01-18,South,Gadget Lite,61,3659.39
2022-01-18,South,Service Pack,22,3299.78
2022-01-18,South,Bundle Deal,23,1839.77
2022-01-18,East,Widget A,57,1709.43
2022-01-18,East,Widget B,34,1699.66
2022-01-18,East,Gadget Pro,58,5799.42
2022-01-18,East,Gadget Lite,30,1799.7
2022-01-18,East,Service Pack,58,8699.42
2022-01-18,East,Bundle Deal,38,3039.62
2022-01-18,West,Widget A,40,1199.6
2022-01-18,West,Widget B,60,2999.4
2022-01-18,West,Gadget Pro,31,3099.69
2022-01-18,West,Gadget Lite,22,1319.78
2022-01-18,West,Service Pack,30,4499.7
2022-01-18,West,Bundle Deal,43,3439.57
2022-01-18,Central,Widget A,13,389.87
2022-01-18,Central,Widget B,46,2299.54
2022-01-18,Central,Gadget Pro,28,2799.72
2022-01-18,Central,Gadget Lite,54,3239.46
2022-01-18,Central,Service Pack,1,149.99
2022-01-18,Central,Bundle Deal,25,1999.75
2022-01-19,North,Widget A,11,329.89
2022-01-19,North,Widget B,24,1199.76
2022-01-19,North,Gadget Pro,40,3999.6
2022-01-19,North,Gadget Lite,34,2039.66
2022-01-19,North,Service Pack,33,4949.67
2022-01-19,North,Bundle Deal,34,2719.66
2022-01-19,South,Widget A,40,1199.6
2022-01-19,South,Widget B,21,1049.79
2022-01-19,South,Gadget Pro,47,4699.53
2022-01-19,South,Gadget Lite,46,2759.54
2022-01-19,South,Service Pack,42,6299.58
2022-01-19,South,Bundle Deal,45,3599.55
2022-01-19,East,Widget A,41,1229.59
2022-01-19,East,Widget B,67,3349.33
2022-01-19,East,Gadget Pro,35,3499.65
2022-01-19,East,Gadget Lite,32,1919.68
2022-01-19,East,Service Pack,25,3749.75
2022-01-19,East,Bundle Deal,21,1679.79
2022-01-19,West,Widget A,18,539.82
2022-01-19,West,Widget B,23,1149.77
2022-01-19,West,Gadget Pro,35,3499.65
2022-01-19,West,Gadget Lite,42,2519.58
2022-01-19,West,Service Pack,37,5549.63
2022-01-19,West,Bundle Deal,25,1999.75
2022-01-19,Central,Widget A,50,1499.5
2022-01-19,Central,Widget B,48,2399.52
2022-01-19,Central,Gadget Pro,34,3399.66
2022-01-19,Central,Gadget Lite,27,1619.73
2022-01-19,Central,Service Pack,45,6749.55
2022-01-19,Central,Bundle Deal,39,3119.61
2022-01-20,North,Widget A,15,449.85
2022-01-20,North,Widget B,35,1749.65
2022-01-20,North,Gadget Pro,40,3999.6
2022-01-20,North,Gadget Lite,23,1379.77
2022-01-20,North,Service Pack,39,5849.61
2022-01-20,North,Bundle Deal,15,1199.85
2022-01-20,South,Widget A,57,1709.43
2022-01-20,South,Widget B,55,2749.45
2022-01-20,South,Gadget Pro,33,3299.67
2022-01-20,South,Gadget Lite,42,2519.58
2022-01-20,South,Service Pack,1,149.99
2022-01-20,South,Bundle Deal,19,1519.81
2022-01-20,East,Widget A,32,959.68
2022-01-20,East,Widget B,20,999.8
2022-01-20,East,Gadget Pro,47,4699.53
2022-01-20,East,Gadget Lite,66,3959.34
2022-01-20,East,Service Pack,19,2849.81
2022-01-20,East,Bundle Deal,24,1919.76
2022-01-20,West,Widget A,40,1199.6
2022-01-20,West,Widget B,61,3049.39
2022-01-20,West,Gadget Pro,18,1799.82
2022-01-20,West,Gadget Lite,40,2399.6
2022-01-20,West,Service Pack,64,9599.36
2022-01-20,West,Bundle Deal,12,959.88
2022-01-20,Central,Widget A,17,509.83
2022-01-20,Central,Widget B,30,1499.7
2022-01-20,Central,Gadget Pro,29,2899.71
2022-01-20,Central,Gadget Lite,49,2939.51
2022-01-20,Central,Service Pack,40,5999.6
2022-01-20,Central,Bundle Deal,10,799.9
2022-01-21,North,Widget A,44,1319.56
2022-01-21,North,Widget B,28,1399.72
2022-01-21,North,Gadget Pro,56,5599.44
2022-01-21,North,Gadget Lite,27,1619.73
2022-01-21,North,Service Pack,27,4049.73
2022-01-21,North,Bundle Deal,45,3599.55
2022-01-21,South,Widget A,48,1439.52
2022-01-21,South,Widget B,43,2149.57
2022-01-21,South,Gadget Pro,11,1099.89
2022-01-21,South,Gadget Lite,45,2699.55
2022-01-21,South,Service Pack,21,3149.79
2022-01-21,South,Bundle Deal,40,3199.6
2022-01-21,East,Widget A,15,449.85
2022-01-21,East,Widget B,43,2149.57
