order_id,customer_id,category,order_date,quantity,price,discount,country
ORD000116,28,Books,2024-06-12,10,40.72,0.02,FR
ORD000117,40,Sports,2024-09-07,7,38.26,0.01,UK
ORD000118,365,Automotive,2023-03-19,1,323.6,0.24,ES
ORD000119,311,Clothing,2024-04-02,1,305.0,0.38,JP
ORD000120,364,Sports,2023-05-31,8,277.19,0.2,IN
ORD000121,272,Home & Garden,2024-01-15,6,163.46,0.19,AU
ORD000122,412,Toys,2023-09-19,2,247.3,0.09,UK
ORD000123,155,Books,2023-03-31,6,333.76,0.15,CA
ORD000124,264,Home & Garden,2024-06-20,10,120.31,0.0,ES
ORD000125,498,Books,2023-08-09,7,21.57,0.21,AU
ORD000126,488,Automotive,2023-03-31,9,249.3,0.33,IT
ORD000127,41,Home & Garden,2024-10-03,9,353.28,0.31,UK
ORD000128,64,Automotive,2023-04-09,10,103.23,0.18,CA
ORD000129,476,Beauty,2023-05-30,5,185.14,0.17,BR
ORD000130,289,Sports,2023-01-18,10,164.22,0.27,US
ORD000131,319,Books,2024-01-14,5,414.47,0.37,IN
ORD000132,7,Sports,2024-08-25,4,488.4,0.3,AU
ORD000133,30,Clothing,2024-09-13,6,255.19,0.2,SE
ORD000134,348,Home & Garden,2024-06-26,9,202.3,0.36,IN
ORD000135,91,Automotive,2023-12-11,4,314.88,0.4,US
ORD000136,390,Toys,2024-10-11,5,489.1,0.29,SE
ORD000137,391,Beauty,2024-07-14,3,375.06,0.36,IT
ORD000138,478,Sports,2024-10-11,4,40.86,0.38,JP
ORD000139,99,Sports,2023-06-24,2,213.64,0.23,US
ORD000140,190,Sports,2024-03-14,9,103.09,0.12,FR
ORD000141,24,Toys,2023-01-16,9,83.01,0.29,IN
ORD000142,269,Books,2024-01-16,10,342.54,0.07,UK
ORD000143,274,Electronics,2024-10-02,1,371.81,0.13,AU
ORD000144,51,Clothing,2024-06-23,1,246.04,0.16,CA
ORD000145,500,Toys,2024-07-20,10,228.51,0.34,FR
ORD000146,290,Automotive,2023-08-20,9,185.28,0.17,FR
ORD000147,190,Automotive,2023-10-18,3,474.53,0.25,SG
ORD000148,398,Automotive,2024-12-20,5,144.48,0.35,NL
ORD000149,221,Home & Garden,2023-07-15,8,111.93,0.05,JP
ORD000150,363,Books,2023-03-04,4,472.7,0.27,SE
ORD000151,387,Beauty,2023-10-11,8,282.64,0.27,SE
ORD000152,412,Home & Garden,2024-07-14,8,70.53,0.22,DE
ORD000153,300,Sports,2024-01-18,4,400.41,0.36,BR
ORD000154,149,Automotive,2023-02-01,1,311.15,0.21,MX
ORD000155,136,Electronics,2024-04-30,5,402.76,0.06,SG
ORD000156,494,Beauty,2024-06-20,10,303.23,0.27,NL
ORD000157,274,Electronics,2024-03-16,6,432.63,0.17,SG
ORD000158,278,Sports,2023-05-06,2,369.52,0.4,BR
ORD000159,231,Clothing,2023-05-20,1,343.02,0.33,UK
ORD000160,284,Beauty,2023-10-25,10,429.11,0.05,DE
ORD000161,9,Automotive,2023-09-19,1,143.85,0.15,CA
ORD000162,306,Sports,2023-03-16,1,44.8,0.06,SG
ORD000163,54,Automotive,2024-09-19,8,27.47,0.36,SE
ORD000164,277,Toys,2024-11-05,2,99.64,0.01,FR
ORD000165,303,Electronics,2023-04-15,6,234.11,0.16,CA
ORD000166,473,Books,2024-02-15,2,9.71,0.08,FR
ORD000167,75,Books,2023-11-10,10,335.88,0.18,JP
ORD000168,439,Automotive,2023-10-26,2,476.54,0.32,SG
ORD000169,385,Automotive,2024-02-28,3,213.66,0.01,FR
ORD000170,383,Beauty,2023-11-29,3,275.78,0.11,SG
ORD000171,246,Sports,2023-11-26,4,479.04,0.33,NL
ORD000172,422,Electronics,2023-04-15,4,65.59,0.12,SE
ORD000173,43,Beauty,2024-06-02,7,202.22,0.12,AU
ORD000174,243,Home & Garden,2024-02-28,5,493.6,0.11,AU
ORD000175,476,Clothing,2023-02-10,7,75.32,0.27,BR
ORD000176,296,Beauty,2023-10-02,6,441.24,0.35,JP
ORD000177,420,Electronics,2023-06-08,4,207.13,0.15,JP
ORD000178,285,Toys,2023-10-12,9,261.39,0.39,IT
ORD000179,320,Books,2023-03-28,2,413.21,0.06,MX
ORD000180,357,Beauty,2024-03-21,9,492.58,0.35,BR
ORD000181,373,Toys,2024-02-29,1,19.17,0.14,MX
ORD000182,218,Clothing,2024-03-08,6,177.86,0.07,AU
ORD000183,333,Automotive,2023-09-25,1,150.22,0.27,DE
ORD000184,171,Electronics,2024-06-11,6,233.41,0.1,IT
ORD000185,7,Beauty,2024-09-07,4,82.86,0.06,FR
ORD000186,52,Sports,2023-10-31,2,163.32,0.2,SE
ORD000187,311,Home & Garden,2023-11-13,3,311.27,0.07,CA
ORD000188,296,Home & Garden,2024-10-17,5,402.53,0.21,UK
ORD000189,123,Books,2024-03-17,1,480.76,0.37,ES
ORD000190,222,Beauty,2024-01-08,5,134.29,0.0,ES
ORD000191,474,Beauty,2024-06-22,7,487.41,0.15,IN
ORD000192,407,Beauty,2023-08-15,3,155.58,0.25,NL
ORD000193,205,Sports,2023-01-24,4,463.9,0.2,MX
ORD000194,273,Automotive,2024-05-27,5,375.41,0.24,BR
ORD000195,353,Home & Garden,2024-04-16,6,209.54,0.01,AU
ORD000196,358,Home & Garden,2023-11-09,7,486.98,0.21,SE
ORD000197,75,Books,2023-02-03,9,20.44,0.26,US
ORD000198,141,Beauty,2024-11-17,8,393.58,0.24,AU
ORD000199,237,Toys,2024-06-17,4,338.73,0.02,BR
ORD000200,452,Sports,2023-10-09,9,50.67,0.04,IT
ORD000201,53,Clothing,2023-05-27,3,146.64,0.28,AU
ORD000202,362,Books,2024-02-10,8,227.5,0.06,CA
ORD000203,204,Home & Garden,2023-01-16,3,125.65,0.12,NL
ORD000204,202,Sports,2023-11-30,4,467.17,0.18,SE
ORD000205,281,Beauty,2024-12-22,1,82.31,0.18,NL
ORD000206,99,Clothing,2024-06-23,9,282.22,0.02,IN
ORD000207,317,Toys,2024-12-19,3,276.42,0.18,MX
ORD000208,247,Sports,2023-10-17,1,269.89,0.17,SG
ORD000209,198,Clothing,2023-03-05,10,74.29,0.11,UK
ORD000210,74,Clothing,2024-12-05,10,248.55,0.21,AU
ORD000211,80,Books,2024-09-23,2,460.81,0.29,MX
ORD000212,102,Sports,2024-02-15,9,109.28,0.4,US
ORD000213,330,Home & Garden,2023-06-17,4,42.7,0.39,IN
ORD000214,196,Toys,2024-06-23,8,474.8,0.28,SE
ORD000215,6,Clothing,2023-01-15,2,461.66,0.09,SG
ORD000216,437,Home & Garden,2024-10-29,1,281.27,0.33,FR
ORD000217,405,Clothing,2024-05-23,1,444.07,0.13,JP
ORD000218,351,Clothing,2023-05-09,8,487.26,0.08,IN
ORD000219,338,Sports,2023-05-01,4,91.68,0.13,FR
ORD000220,327,Clothing,2023-02-12,2,113.8,0.02,NL
ORD000221,388,Books,2024-07-16,9,269.9,0.16,MX
ORD000222,464,Toys,2023-04-04,4,353.84,0.32,US
ORD000223,487,Sports,2024-01-15,1,406.87,0.0,BR
ORD000224,145,Toys,2023-09-19,9,249.23,0.0,US
ORD000225,164,Toys,2024-02-05,7,17.52,0.07,AU
ORD000226,84,Automotive,2024-05-22,7,41.54,0.08,US
ORD000227,267,Automotive,2023-06-03,1,419.48,0.26,IT
ORD000228,208,Home & Garden,2023-05-27,2,284.09,0.06,SG
ORD000229,317,Sports,2023-09-04,8,32.47,0.16,JP
ORD000230,310,Electronics,2024-11-13,8,349.35,0.26,US
ORD000231,293,Beauty,2023-11-21,10,317.4,0.1,IN
ORD000232,8,Sports,2023-07-07,9,216.26,0.07,IN
ORD000233,317,Automotive,2024-01-15,3,430.29,0.35,SG
ORD000234,73,Electronics,2023-05-12,6,150.69,0.09,MX
ORD000235,471,Home & Garden,2024-07-12,5,379.83,0.36,JP
ORD000236,19,Sports,2023-08-22,5,169.09,0.38,AU
ORD000237,242,Clothing,2024-12-18,6,281.25,0.37,JP
ORD000238,198,Books,2024-04-04,9,497.98,0.19,SE
ORD000239,431,Books,2024-03-22,3,308.75,0.29,NL
ORD000240,5,Toys,2023-08-01,6,283.97,0.1,NL
ORD000241,316,Toys,2023-05-11,1,288.08,0.03,ES
ORD000242,412,Toys,2023-02-26,6,349.66,0.21,MX
ORD000243,392,Books,2024-09-16,1,402.25,0.04,DE
ORD000244,147,Clothing,2024-12-16,9,398.63,0.31,SE
ORD000245,164,Clothing,2023-06-07,4,383.37,0.2,JP
ORD000246,107,Beauty,2024-12-26,3,173.1,0.03,US
ORD000247,165,Clothing,2024-03-25,3,125.39,0.29,CA
ORD000248,213,Beauty,2024-07-28,3,204.78,0.19,NL
ORD000249,468,Books,2024-12-22,6,262.72,0.19,MX
ORD000250,446,Sports,2024-12-12,4,407.23,0.23,BR
ORD000251,417,Clothing,2024-02-19,1,264.81,0.32,AU
ORD000252,202,Beauty,2024-01-20,2,187.5,0.06,NL
ORD000253,254,Automotive,2024-05-08,7,271.38,0.05,MX
ORD000254,253,Automotive,2023-06-10,4,42.32,0.07,DE
ORD000255,231,Electronics,2023-10-11,2,271.83,0.12,JP
ORD000256,99,Automotive,2024-08-27,7,261.68,0.3,ES
ORD000257,126,Clothing,2023-03-22,1,297.64,0.24,JP
ORD000258,291,Sports,2023-12-02,7,433.03,0.02,NL
ORD000259,104,Automotive,2023-08-19,3,286.87,0.33,SG
ORD000260,38,Toys,2024-03-01,6,283.89,0.02,FR
ORD000261,113,Beauty,2023-05-19,7,341.91,0.08,SE
ORD000262,456,Clothing,2024-11-08,5,485.46,0.36,NL
ORD000263,471,Automotive,2024-07-31,2,364.54,0.14,SG
ORD000264,28,Toys,2023-03-01,8,102.51,0.14,IT
ORD000265,134,Automotive,2023-08-26,8,220.2,0.08,MX
ORD000266,402,Electronics,2023-02-01,3,72.59,0.07,JP
ORD000267,224,Home & Garden,2023-03-31,7,22.31,0.01,IT
ORD000268,107,Beauty,2023-11-06,1,410.69,0.34,NL
ORD000269,341,Electronics,2023-08-29,4,181.69,0.29,DE
ORD000270,327,Clothing,2024-01-16,9,137.63,0.15,AU
ORD000271,323,Beauty,2023-08-01,1,245.53,0.3,UK
ORD000272,193,Automotive,2023-08-31,4,107.25,0.11,JP
ORD000273,386,Books,2024-11-30,10,29.33,0.14,FR
ORD000274,121,Clothing,2024-09-30,5,336.45,0.35,CA
ORD000275,190,Electronics,2023-01-10,3,114.38,0.09,AU
ORD000276,451,Beauty,2024-03-15,8,19.07,0.34,US
ORD000277,167,Beauty,2023-04-14,7,370.56,0.1,UK
ORD000278,61,Toys,2024-07-30,5,474.01,0.36,ES
ORD000279,252,Electronics,2024-09-02,7,63.47,0.09,IN
ORD000280,338,Books,2024-04-27,8,235.84,0.12,CA
ORD000281,318,Clothing,2024-05-06,6,109.05,0.22,IN
ORD000282,129,Sports,2024-09-13,2,27.1,0.08,UK
ORD000283,498,Toys,2023-03-16,6,199.93,0.01,MX
ORD000284,370,Beauty,2024-05-31,9,402.17,0.12,SE
ORD000285,294,Clothing,2023-03-29,3,158.89,0.17,SE
ORD000286,371,Sports,2023-01-31,1,53.23,0.0,FR
ORD000287,384,Electronics,2024-04-11,6,303.75,0.31,SE
ORD000288,288,Clothing,2023-07-18,4,421.25,0.11,FR
ORD000289,463,Toys,2023-02-03,9,176.55,0.07,MX
ORD000290,144,Sports,2023-02-16,7,227.55,0.25,FR
ORD000291,2,Books,2024-12-16,8,89.5,0.35,SE
ORD000292,294,Home & Garden,2023-06-12,5,495.67,0.18,MX
ORD000293,128,Automotive,2023-10-25,3,483.19,0.17,FR
ORD000294,412,Books,2023-07-14,7,401.84,0.2,AU
ORD000295,2,Electronics,2024-11-13,8,41.8,0.06,BR
ORD000296,393,Electronics,2023-02-23,3,154.52,0.12,US
ORD000297,452,Books,2024-02-01,7,103.18,0.18,SE
ORD000298,464,Sports,2023-12-15,10,63.8,0.4,BR
ORD000299,194,Automotive,2024-05-20,5,213.93,0.16,SG
ORD000300,409,Sports,2024-10-17,3,212.21,0.02,IT
ORD000301,291,Electronics,2023-01-01,5,479.78,0.1,SG
ORD000302,12,Clothing,2023-01-13,5,365.12,0.37,JP
ORD000303,242,Automotive,2023-10-03,6,44.93,0.34,NL
ORD000304,359,Clothing,2023-10-21,7,31.41,0.25,IT
ORD000305,377,Beauty,2024-10-12,8,475.21,0.21,UK
ORD000306,190,Beauty,2023-07-23,8,402.94,0.26,BR
ORD000307,185,Clothing,2024-09-11,7,25.45,0.38,ES
ORD000308,324,Sports,2023-03-07,7,429.81,0.18,SG
ORD000309,7,Sports,2023-02-26,9,248.53,0.32,UK
ORD000310,426,Electronics,2024-06-27,3,373.7,0.35,MX
ORD000311,180,Electronics,2024-07-10,9,294.18,0.08,NL
ORD000312,293,Clothing,2023-03-10,2,343.22,0.15,AU
ORD000313,236,Automotive,2024-12-25,10,167.14,0.29,DE
ORD000314,200,Electronics,2023-02-28,6,262.69,0.09,SG
ORD000315,203,Automotive,2024-10-07,9,103.48,0.13,ES
ORD000316,389,Sports,2023-05-22,10,201.95,0.14,AU
ORD000317,137,Books,2023-01-17,1,52.23,0.39,NL
ORD000318,476,Books,2024-09-15,6,332.77,0.28,UK
ORD000319,49,Automotive,2023-05-15,4,35.45,0.21,DE
ORD000320,210,Home & Garden,2024-01-22,2,152.36,0.18,FR
ORD000321,15,Books,2024-08-26,4,56.08,0.27,US
ORD000322,198,Automotive,2023-04-23,7,334.83,0.36,ES
ORD000323,456,Sports,2024-06-24,7,237.39,0.09,ES
ORD000324,281,Toys,2024-01-24,1,186.1,0.3,IN
ORD000325,33,Clothing,2023-07-06,6,240.31,0.1,BR
ORD000326,341,Automotive,2023-01-31,7,85.65,0.31,SE
ORD000327,199,Electronics,2023-07-11,10,446.22,0.3,AU
ORD000328,62,Automotive,2023-11-07,3,177.19,0.28,IN
ORD000329,40,Books,2023-09-26,7,337.41,0.11,AU
ORD000330,220,Electronics,2024-06-07,8,473.15,0.4,US
ORD000331,56,Home & Garden,2023-10-27,6,67.53,0.13,UK
ORD000332,326,Home & Garden,2023-10-05,3,340.42,0.35,AU
ORD000333,324,Clothing,2024-08-15,9,9.85,0.07,ES
ORD000334,441,Beauty,2023-12-05,2,474.56,0.15,NL
ORD000335,462,Sports,2024-12-20,8,173.28,0.01,SE
ORD000336,467,Electronics,2024-02-24,10,149.52,0.04,CA
ORD000337,175,Automotive,2024-11-15,2,157.64,0.18,DE
ORD000338,128,Home & Garden,2024-10-06,7,495.04,0.33,MX
ORD000339,373,Beauty,2023-10-30,5,152.36,0.27,BR
ORD000340,213,Electronics,2024-03-23,8,456.27,0.23,UK
ORD000341,391,Home & Garden,2023-04-13,10,449.98,0.01,ES
ORD000342,414,Toys,2024-01-20,3,428.39,0.33,IT
ORD000343,321,Home & Garden,2023-11-06,8,84.32,0.13,CA
ORD000344,236,Electronics,2023-12-20,10,331.91,0.22,DE
ORD000345,435,Beauty,2023-05-15,1,193.66,0.33,SG
ORD000346,255,Sports,2024-09-24,9,239.56,0.02,BR
ORD000347,94,Sports,2023-02-28,1,82.13,0.13,CA
ORD000348,56,Clothing,2024-07-24,2,488.74,0.38,IT
ORD000349,38,Home & Garden,2024-11-20,8,137.19,0.04,SG
ORD000350,53,Beauty,2023-03-19,9,430.1,0.15,IT
ORD000351,229,Books,2023-11-13,8,35.75,0.36,UK
ORD000352,295,Clothing,2024-03-03,2,397.4,0.05,IN
ORD000353,268,Automotive,2024-12-24,9,399.62,0.27,US
ORD000354,183,Books,2024-09-23,3,134.9,0.28,IN
ORD000355,187,Home & Garden,2023-10-30,3,286.31,0.1,JP
ORD000356,262,Electronics,2024-12-07,8,153.04,0.06,SG
ORD000357,461,Books,2023-08-30,9,110.04,0.3,US
ORD000358,363,Automotive,2023-09-06,8,311.4,0.09,SG
ORD000359,62,Automotive,2024-01-05,10,364.31,0.31,ES
ORD000360,138,Automotive,2024-07-23,3,358.02,0.36,CA
ORD000361,467,Toys,2023-05-21,6,420.2,0.02,IT
ORD000362,432,Toys,2024-06-26,6,359.32,0.11,ES
ORD000363,212,Automotive,2023-01-02,6,194.92,0.29,US
ORD000364,129,Electronics,2023-07-11,10,489.72,0.23,SE
ORD000365,417,Books,2024-12-12,3,478.17,0.21,UK
ORD000366,416,Electronics,2024-04-24,2,229.24,0.19,BR
ORD000367,189,Automotive,2023-12-04,3,485.74,0.38,IN
ORD000368,46,Sports,2024-06-18,1,491.66,0.31,IN
ORD000369,255,Beauty,2023-11-14,1,373.3,0.22,SG
ORD000370,310,Sports,2023-03-19,4,404.92,0.13,US
ORD000371,345,Toys,2023-12-30,3,62.37,0.01,NL
ORD000372,454,Toys,2024-11-28,10,139.51,0.27,NL
ORD000373,237,Automotive,2023-07-18,2,66.47,0.06,AU
ORD000374,456,Beauty,2023-02-08,4,81.68,0.06,DE
ORD000375,438,Home & Garden,2024-06-25,7,389.94,0.04,CA
ORD000376,23,Toys,2023-11-28,7,107.11,0.35,ES
ORD000377,269,Sports,2023-09-02,1,192.72,0.23,IT
ORD000378,74,Clothing,2023-12-22,6,221.61,0.32,MX
ORD000379,10,Sports,2024-11-09,10,39.77,0.01,CA
ORD000380,20,Books,2023-07-02,3,431.47,0.19,SE
ORD000381,400,Beauty,2023-05-27,10,423.77,0.25,IT
ORD000382,433,Automotive,2024-01-25,9,15.45,0.37,US
ORD000383,248,Toys,2023-12-05,4,298.53,0.24,US
ORD000384,492,Clothing,2023-04-20,4,301.66,0.05,IT
ORD000385,337,Automotive,2024-02-28,10,314.79,0.28,NL
ORD000386,24,Books,2024-02-24,6,133.78,0.14,IT
ORD000387,162,Home & Garden,2024-03-17,5,89.54,0.1,DE
ORD000388,331,Toys,2023-10-29,5,48.77,0.34,NL
ORD000389,350,Sports,2023-07-31,9,362.29,0.22,AU
ORD000390,357,Beauty,2023-08-28,2,249.21,0.2,IT
ORD000391,362,Home & Garden,2024-09-01,7,308.7,0.34,IT
ORD000392,311,Toys,2024-04-01,1,281.47,0.38,CA
ORD000393,500,Beauty,2023-10-18,1,330.99,0.26,FR
ORD000394,299,Sports,2024-03-23,2,354.49,0.34,ES
ORD000395,183,Toys,2023-09-13,8,110.54,0.17,SG
ORD000396,95,Beauty,2024-09-21,9,345.85,0.36,MX
ORD000397,110,Automotive,2024-06-15,7,142.35,0.29,AU
ORD000398,217,Sports,2023-03-15,5,19.67,0.36,AU
ORD000399,241,Automotive,2023-02-11,9,410.53,0.35,BR
ORD000400,50,Home & Garden,2023-01-25,3,377.29,0.14,ES
ORD000401,346,Sports,2023-01-21,8,377.74,0.35,NL
ORD000402,198,Clothing,2023-12-29,7,191.6,0.22,NL
ORD000403,241,Electronics,2023-05-13,8,388.13,0.32,SG
ORD000404,344,Home & Garden,2024-05-07,3,149.2,0.28,JP
ORD000405,431,Sports,2023-12-19,7,153.21,0.37,SE
ORD000406,283,Home & Garden,2023-03-10,2,186.76,0.28,IT
ORD000407,482,Toys,2023-01-05,9,363.41,0.29,SE
ORD000408,355,Books,2023-01-27,1,128.65,0.4,US
ORD000409,490,Electronics,2024-01-25,8,42.71,0.35,IT
ORD000410,208,Toys,2024-03-04,6,134.05,0.24,SG
ORD000411,63,Clothing,2023-09-15,8,232.84,0.3,UK
ORD000412,122,Books,2023-02-27,1,163.53,0.1,SG
ORD000413,122,Beauty,2024-11-13,2,361.53,0.22,FR
ORD000414,168,Electronics,2023-10-24,4,44.22,0.39,JP
ORD000415,148,Home & Garden,2023-11-10,10,330.03,0.07,IT
ORD000416,251,Toys,2023-10-06,5,161.01,0.36,UK
ORD000417,465,Automotive,2023-02-13,9,96.81,0.3,MX
ORD000418,56,Books,2024-06-02,4,121.21,0.12,IT
ORD000419,391,Books,2024-04-30,6,104.08,0.38,MX
ORD000420,284,Clothing,2023-05-01,5,431.3,0.17,CA
ORD000421,61,Automotive,2023-07-16,10,151.94,0.19,UK
ORD000422,400,Clothing,2024-02-04,5,407.52,0.19,MX
ORD000423,220,Toys,2023-10-03,6,149.32,0.08,FR
ORD000424,333,Beauty,2024-12-29,3,7.84,0.26,DE
ORD000425,465,Toys,2023-12-29,6,9.37,0.21,MX
ORD000426,75,Sports,2024-10-06,6,187.65,0.39,CA
ORD000427,104,Sports,2023-05-30,9,427.96,0.31,JP
